title,description
Version Control with Git,"This course covers the essentials of using the version control system Git. You'll be able to create a new Git repo, commit changes, and review the commit history of an existing repo. You'll also learn how to keep your commits organized using tags and branches and you'll master the art of merging changes by crushing those pesky merge conflicts. Oh no! Was a mistake made along the way? Learn how to edit commits, revert changes, or even delete commits."
Java Programming Basics," Take your first steps towards becoming a Java developer! Learn Java syntax and create conditional statements, loops, and functions. "
Intro to Backend,"This course presents an overview of a variety of Web backend topics: handling user input, producing templated output, storing information in databases and data stores, and building systems with secure user accounts."
Passwordless Login Solutions for iOS,"For an app developer, providing a seamless user experience is critical for building engagement and growing a user base. Passwordless login solutions provide your users with a simple, secure, and positive first experience.,In this course, you'll learn two frameworks for sign-up and authentication: Account Kit, which uses a phone number and code, and Facebook Login for iOS. You’ll learn how to configure both types of authentication side by side in a sample app, test the flow on a series of common use cases, and wrap things up with an introduction to Facebook’s Graph API, a window into an incredible wealth of data for creating a more engaging experience for your users."
Advanced Operating Systems,"In this course, we will see all the advances that have led to the state-of-the-art operating system that we know today, covering variety of platforms -- cell phones, multi-core, parallel systems, distributed systems, and cloud computing."
"Computability, Complexity & Algorithms","In this course, we will ask the big questions, ""What is a computer? What are the limits of computation? Are there problems that no computer will ever solve? Are there problems that can’t be solved quickly? What kinds of problems can we solve efficiently and how do we go about developing these algorithms?"" Understanding the power and limitations of algorithms helps us develop the tools to make real-world computers smarter, faster and safer."
HTTP & Web Servers,"This course is intended for budding full-stack web developers to master the basics of HTTP, the protocol that underlies all web technology.,In this course, you'll explore HTTP directly, talking with web servers and browsers by hand. You'll write and deploy low-level web applications in Python. And you'll learn more about how HTTP connects with other web technologies."
High Performance Computing,"The goal of this course is to give you solid foundations for developing, analyzing, and implementing parallel and locality-efficient algorithms. This course focuses on theoretical underpinnings. To give a practical feeling for how algorithms map to and behave on real systems, we will supplement algorithmic theory with hands-on exercises on modern HPC systems, such as Cilk Plus or OpenMP on shared memory nodes, CUDA for graphics co-processors (GPUs), and MPI and PGAS models for distributed memory systems.,This course is a graduate-level introduction to scalable parallel algorithms. ""Scale"" really refers to two things: efficient as the problem size grows, and efficient as the system size (measured in numbers of cores or compute nodes) grows. To really scale your algorithm in both of these senses, you need to be smart about reducing asymptotic complexity the way you’ve done for sequential algorithms since CS 101; but you also need to think about reducing communication and data movement. This course is about the basic algorithmic techniques you’ll need to do so.,The techniques you’ll encounter covers the main algorithm design and analysis ideas for three major classes of machines: for multicore and many core shared memory machines, via the work-span model; for distributed memory machines like clusters and supercomputers, via network models; and for sequential or parallel machines with deep memory hierarchies (e.g., caches). You will see these techniques applied to fundamental problems, like sorting, search on trees and graphs, and linear algebra, among others. The practical aspect of this course is implementing the algorithms and techniques you’ll learn to run on real parallel and distributed systems, so you can check whether what appears to work well in theory also translates into practice. (Programming models you’ll use include Cilk Plus, OpenMP, and MPI, and possibly others.)"
Embedded Systems,"In the 21st century, embedded systems are the systems of future with cellular phones, smart-phones, tablets becoming the dominant platforms for computing and communication. The ubiquity of information and the associated need for the computation that accompanies it is driving this revolution only to be accelerated by the new paradigms such as the Internet-of-Things (IoT). These platforms are clearly very different in terms of their processing requirements which are very unique: real-time needs, high performance but at low energy, compact-code and data segments, and most importantly ever changing software stack. Such unique requirements have led to a complete redesign and reinvention of the both hardware and the software stack from ground up, for example, brand new processors such as ARM, DSPs, network processors were invented all the way up to new virtual machines such as Dalvik, new operating systems such as Android and new programming models and compiler optimizations."
WeChat Mini Program Development,"WeChat Mini Programs are “sub-applications” within the WeChat ecosystem; you can find and use any Mini Program instantly without needing to install anything from the App Store.  With more than one billion active daily users globally, it’s almost impossible to overestimate WeChat’s importance, and the potential reach of a Mini Program of your design!,This program is built in collaboration with Tencent WeChat and leading industry professionals who have developed a world-class curriculum. In this course, students will learn about data queries, parsing, Mini Program interfaces, and then go on to complete their very first Mini Program all within 4 weeks."
The MVC Pattern in Ruby,"Learn how to organize the code for your web apps, and why it's important. You’ll be using the MVC Design Pattern in the web application micro-framework, Sinatra."
Asynchronous JavaScript Requests,"This course covers everything a developer needs to know to asynchronously send and receive data in their web applications. You'll dive into how asynchronous requests work by using the XHR object to create and send asynchronous requests for image and news article data. Then, you'll see how you can perform async requests more easily using third-party libraries and APIs like jQuery's Ajax and the Fetch API."
Advanced Android with Kotlin,"Go beyond the basics of building an Android app with ""Advanced Android with Kotlin"". This course teaches you how to add a range of advanced features to your app, starting with best practices for using Android's notification system. You'll learn how to create and clip custom views, draw directly to a canvas, and add animations to your apps. You'll also add maps to your apps and learn to style them. Testing an app is as important as building it, so you'll learn to test your app to catch and fix bugs so that users never see them. Finally, you'll learn how to let users login to your app with their existing accounts—you'll be surprised how little code it takes."
Intro to Algorithms," This class will give you an introduction to the design and analysis of algorithms, enabling you to analyze networks and discover how individuals are connected. "
Intro to Relational Databases,"This course is a quick, fun introduction to using a relational database from your code, using examples in Python. You'll learn the basics of SQL (the Structured Query Language) and database design, as well as the Python API for connecting Python code to a database. You'll also learn a bit about protecting your database-backed web apps from common security problems.,After taking this course, you'll be able to write code using a database as a backend to store application data reliably and safely."
Intro to Physics,"Study physics abroad in Europe -- virtually! Learn the basics of physics on location in Italy, the Netherlands and the UK, by answering some of the discipline's major questions from over the last 2000 years. "
Intro to AJAX,"In this course you will learn how to make asynchronous requests with JavaScript (using jQuery’s AJAX functionality), and gain a better understanding of what’s actually happening when you do so. You will also learn how to use data APIs so you can take advantage of freely accessible data in your applications, including photo results, news articles and up-to-date data about the world around us.,As part of the course, you’ll be building a web app that will help people learn about a place where they want to move! Your app will query the Google Streetview, Wikipedia and New York Times APIs!,This course is also a part of our , Nanodegree."
Database Systems Concepts & Design,This course presents an example of applying a database application development methodology to a major real-world project.
Networking for Web Developers,"How does the Web work? Under the hood of HTTP there's a whole stack of networking protocols.,Explore the underpinnings of the net with tools like ,, ,, and ,."
Programming Languages,"This class will give you an introduction to the fundamentals of programming languages. Key concepts include how to specify and process valid strings, sentences and program structures. "
ES6 - JavaScript Improved,"ECMAScript 6, or ES6, has brought about a ton of changes to the JavaScript programming language. In this course, you'll explore those changes to learn about the latest features and improvements to the language including new keywords, arrow functions, the Class syntax, Promises, and so much more. Discover how much cleaner and more concise your JavaScript code can be!"
Deploying a Hadoop Cluster,"Learn how to tackle big data problems with your own Hadoop clusters! In this course, you’ll deploy Hadoop clusters in the cloud and use them to gain insights from large datasets."
Mobile Design and Usability for iOS,"Featuring Facebook's experts in User Research and Product Design, this course walks you through the steps to design a new mobile product that puts users first. You'll learn how to use data collected from users to guide prototyping, and conduct user testing with a production app to guide a future redesign. "
Firebase in a Weekend: Android,"In this course, you’ll learn how to use Firebase. Firebase is app development platform that provides developers a variety of tools and a scalable infrastructure to build high quality apps. ,We’ll begin by showing you how easy it is to read and write almost any data to Firebase. After that, we’ll teach you how to allow users to login, have data associated with them and send them notifications. You’ll learn how to use Firebase’s Security and Rules language to secure and add permissions to your data.,Firebase Remote Config gives you the ability to tune and customize your app without having to publish a new version. Finally we’ll give you a brief overview of Firebase Analytics so you can collect data from the start. ,Got extra time this weekend? As a bonus, you will write your own Cloud Function for Firebase that makes chat more fun by adding emojis to FriendlyChat conversations. Cloud Functions for Firebase integrates the Firebase platform by letting you write code that responds to events and invokes functionality exposed by other Firebase features.,By the end of this course you will have an Android application that can store and share data between different users in real time as well as authenticate and authorize those users."
Server-Side Swift,"In this course, built in collaboration with IBM and Hashicorp, you'll learn how to build server-side Swift applications that run on Linux and in the cloud, including how to use Swift to build a microservices backend. This course covers the best practices for constructing and deploying server-side Swift using industry-proven tools like Docker and Terraform. ,Whether you're an Apple developer, a full stack developer, or just getting started with app development, this course offers an opportunity to master server-side Swift, while gaining vital transferable skills that can be used with any server-side stack. Enroll in the course today, and you'll enjoy a feature-packed learning experience that is fun, informative, and loaded with expert input from leading companies in industry."
Software Debugging,"In this class you will learn how to debug programs systematically, how to automate the debugging process and build several automated debugging tools in Python."
Core ML: Machine Learning for iOS,"In this short course, we'll show you how to incorporate Apple's Core ML framework into your app. You'll also get a quick overview of machine learning fundamentals, and exposure to real-world examples of companies using machine learning technology in their iOS apps."
Design of Computer Programs,"Understanding how to approach programming problems and devise a solution is an essential skill for any Python developer. In this course, you’ll learn new concepts, patterns, and methods that will expand your coding abilities from programming expert, Peter Norvig."
Intro to Theoretical Computer Science,This class teaches you about basic concepts in theoretical computer science -- such as NP-completeness -- and what they imply for solving tough algorithmic problems.
Swift for Developers,"This course offers a quick practical introduction to Swift basics, including types, variables, constants, and functions. It combines syntax exercises with hands-on iOS development in Xcode. By the end of the course students will build their first iOS app, an app that creates and displays song lyrics customized to user input."
Shell Workshop,"A quick, one-lesson introduction to the Unix-style command-line environment.,This course is intended to get you up to speed on the shell — using a terminal, managing files and directories, and running command-line programs."
Full Stack Foundations,"In this course you will learn the fundamentals of back-end web development! You will create your own web application that queries a database for items on restaurant menus and then dynamically generates complete menus in the form of web pages and API endpoints.,You’ll start by learning how to interact with a database from a web application using an Object-Relational Mapping (ORM) layer. From there, you’ll learn how GET and POST requests translate to CRUD operations. You’ll then explore the Flask framework and the various ways in which it can speed up the development of your applications. Finally, you’ll develop your very own web application from the ground up using the iterative development process."
Data Wrangling with MongoDB,"In this course, we will explore how to wrangle data from diverse sources and shape it to enable data-driven applications. Some data scientists spend the bulk of their time doing this!,Students will learn how to gather and extract data from widely used data formats. They will learn how to assess the quality of data and explore best practices for data cleaning. We will also introduce students to MongoDB, covering the essentials of storing data and the MongoDB query language together with exploratory analysis using the MongoDB aggregation framework.,This is a great course for those interested in entry-level data science positions as well as current business/data analysts looking to add big data to their repertoire, and managers working with data professionals or looking to leverage big data.,This course is also a part of our , Nanodegree."
AutoLayout,"With this course, you will learn about AutoLayout and how to use stack views and constraints to create pixel-perfect UIs.,Also, you will take a deep dive and learn about some of the most commonly misunderstood properties affecting layout like distribution, alignment, content hugging, and compression resistance.,Then, you will put all of this knowledge to use and start creating functional interfaces with multiple stack views and UI elements. In fact, you will recreate an interface from a very well known app. And, by the end of this course, you will be ready to create beautiful interfaces from scratch."
High Performance Computer Architecture,"The course begins with a lesson on performance measurement, which leads to a discussion on the necessity of performance improvement.,Pipelining, the first level of performance refinement, is reviewed. The weaknesses of pipelining will be exposed and explored, and various solutions to these issues will be studied. The student will learn hardware, software, and compiler based solutions to these issues."
Kotlin Bootcamp for Programmers,"Learn the essentials of the Kotlin programming language from Kotlin experts at Google. Kotlin is a modern and concise JVM language that supports functional programming paradigms. Whether you’re a Java developer or a programmer in another object-oriented language, this course will teach you the essential language features that has made Kotlin so popular with developers. By the end of this course, you’ll gain the skills you need to build your next project in Kotlin. "
Software Testing,"When writing software, destruction can be just as valuable as creation. Learn how to catch bugs and break software as you discover different testing methods that will help you build better software."
Statistics,"NOTE: This course has been divided into two courses: , and , Statistics. If you are new to statistics, we recommend taking these courses instead.,We live in a time of unprecedented access to information...data.  Whether researching the best school, job, or relationship, the Internet has thrown open the doors to vast pools of data.  Statistics are simply objective and systematic methods for describing and interpreting information so that you may make the most informed decisions about life."
Objective-C for Swift Developers,"This course is designed to teach students how to understand and identify the differences between the Objective-C and Swift programming languages, and especially, how to rewrite from the former to the latter. Understanding communications between the two languages—called ""interoperability""—is becoming more and more important for developers, particularly as we prepare for the arrival of Swift 3.0. In the course, students will write classes and add functionality to classes by writing and calling methods. After learning some basic Objective-C syntax, students will examine and break down an app written in Objective-C and rewrite it in Swift. The course will conclude with a review of and practice with the most common challenges for interoperability between Objective-C and Swift."
Developing Android Apps," Build a cloud-connected Android app, and learn the tools, principles, and best practices of mobile and Android development that you'll apply to your own projects. "
Introduction to Virtual Reality,"This course is designed for students who are new to virtual reality and want to learn about the principles of VR technology including optics, displays, stereopsis, tracking, and major hardware platforms. You don’t need any programming experience to get started. ,By the end of this course, you will have created and deployed a VR application. You will understand the physical principles of VR and you will use that knowledge to create a comfortable, high-performance VR application using Unity."
Introduction to Python Programming," In this course, you'll learn the fundamentals of the Python programming language, along with programming best practices. You’ll learn to represent and store data using Python data types and variables, and use conditionals and loops to control the flow of your programs. You’ll harness the power of complex data structures like lists, sets, dictionaries, and tuples to store collections of related data. You’ll define and document your own custom functions, write scripts, and handle errors. Lastly, you’ll learn to find and use modules in the Python Standard Library and other third-party libraries. "
Interactive 3D Graphics,"This class will teach you about the basic principles of 3D computer graphics: meshes, transforms, cameras, materials, lighting, and animation."
Swift for Beginners,"In this course, you’ll begin learning Swift, Apple's programming language for building iOS applications. You'll start with fundamentals and work your way towards understanding all the core principles necessary to get started creating your first app. At the end of the course, you'll complete a problem set of exercises designed to challenge your understanding of Swift and give you the opportunity to apply what you've learned."
Intro to Statistics," Get ready to analyze, visualize, and interpret data! Thought-provoking examples and chances to combine statistics and programming will keep you engaged and challenged. "
Designing RESTful APIs,"API (Application Programming Interface) endpoints are the connections between your application and the rest of the developer community.  In this course you will learn about writing secure, developer-friendly APIs that will make your back-end application thrive and keep your users happy.  ,At the end of this course you will create the back-end for a social application called ""Meet n' Eat"" that matches together users based on their location and food interests."
Intro to JavaScript," Learn the fundamentals of JavaScript, the most popular programming language in web development. "
Object Oriented Programming in Java,"This course will introduce you to some of the most powerful programming concepts in Java, including: objects, inheritance and collections. You will learn how to use these object-oriented programming concepts in code examples, discover how these concepts are used in applications that require user input, and understand the benefits of mastering these concepts in Java.,By the end of the course, you will create your own game, understand how and when to apply foundational Java concepts, and will gain a deeper understanding of the tools and logic that professional Java developers use everyday. You will also have the Java programming foundations you need to take our ,."
GT - Refresher - Advanced OS,"The course covers the basics of Memory Systems, File Systems, Multithreaded Programming, and Networking.  Together these form a strong foundation from which the student can understand cutting edge research in the areas of Virtualization, Distributed Systems, and Internet-scale services in the GT , sequence."
Grand Central Dispatch (GCD),"Many times your apps need to run lengthy operations in the background, like downloading data, but you don't want these operations to interfere with your UI.,Apple's GCD (long form: Grand Central Dispatch) framework allows you to create asynchronous apps for iOS, ensuring smooth a smooth user experience in situations like the one mentioned above."
How to Make a Platformer Using libGDX,"'2D Game Development with libGDX' explored the basics of the libGDX game framework, from simple drawing to user input. ,This course will use those skills to create a much more sophisticated platforming game called GigaGal. In creating GigaGal, you'll learn about sprite drawing, keeping track of complex game state, controlling interactions between game entities, and also how to load and manage level data."
Intro to HTML and CSS," In this course, you'll learn the fundamentals web development, along with best practices and professional problem-solving techniques using Developer Tools. "
HTML5 Canvas,"Canvas is an HTML5 element which gives you drawable surface inside your web pages you can control with JavaScript. Powerful enough to use for compositing images and even creating games.,In this course, through several sample projects, you’ll learn how to use the canvas; how to make compositions using shapes, images, and text; how to create effects and filters on images and how to create animations."
Localization Essentials,"Localization is the art of adapting a product linguistically and culturally for international users. Although the industry has been around since the 1980s, it has become increasingly important over the past few years as more and more users are getting online and the vast majority of these users are non-English speakers.,Localization Essentials will take you through the linguistic, cultural and technical aspects of launching a product globally. Whether you’re a developer, product owner, localization professional or translation student, this is where you’ll learn the basics of Localization – directly from the experts at Google., Already thousands of students around the world have taken the course since its launch and the following universities are using it in their curricula to teach students about Localization: ,, ,, ,, ,.,Join us, and get to know the world of Localization inside out."
Object-Oriented JavaScript,"This course is designed to teach web developers how to utilize the various object-oriented programming features within JavaScript. Object-oriented programming allows developers to build applications with reusable and maintainable blocks of code, which leads to efficiency and simplified software design.,With object-oriented JavaScript, you'll be able to build classes to construct objects that encapsulate both data and functionality. You'll also learn how to leverage prototypal inheritance to maintain DRY code, allowing you to pass behaviors down to objects. You'll also learn how to keep data safe and secure by creating private state with closures and immediately-invoked function expressions."
JavaScript Testing,"In this course you'll learn how to write JavaScript applications with confidence, using the red-green-refactor workflow. You'll write comprehensive suites of tests that validate your application is functioning as intended at all times.,You'll start by exploring how other industries use a variety of tests and the value it provides. You'll then start writing your very own tests, using the Jasmine testing framework. Finally, you'll start developing your very own address book application using the red-green-refactor workflow and explore a variety of scenarios including testing asynchronous functions."
Compilers: Theory and Practice,The objective of this course is to learn the theory and practice behind building automatic translators (compilers) for higher level programming languages and to engineer and build key phases of a compiler in Java or C++ for a small language.
Dynamic Web Applications with Sinatra,"Learn how to build web applications with Sinatra, an elegant and approachable web development micro-framework for Ruby."
Introduction to Graduate Algorithms,"This is a graduate-level course in the design and analysis of algorithms. We study techniques for the design of algorithms (such as dynamic programming) and algorithms for fundamental problems (such as fast Fourier transform or FFT).,In addition, we study computational intractability, specifically, the theory of NP-completeness. The main topics covered in the course include: dynamic programming; divide and conquer, including FFT; randomized algorithms, including RSA cryptosystem and hashing using Bloom filters; graph algorithms; max-flow algorithms; linear programming; and NP-completeness."
2D Game Development with libGDX,"This course explores how to use LibGDX to build 2D games that run anywhere, from web browsers to mobile devices. We start with simple drawings, and then turn to simple animations, physics, and user input handling. Finally, we create a full game, called Icicles, where icicles rain down from the top of the screen, and the player must dodge them using the arrow keys or by tilting their phone."
Human-Computer Interaction,"This course is an introductory course on human-computer interaction, covering the principles, techniques, and open areas of development in HCI."
Firebase Analytics: iOS,"In this course, you’ll learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solution. You'll be able to learn who your users are and how they interact with your app. You can then use this information to make informed decisions to improve your app, such as how difficult to make a level in a game, where to place an advertisement, or what products to stock.,We'll begin by covering the basics of digital analytics focusing on an app that is live in the App Store and Google Play Store as an example. You'll then explore the app's actual usage data using the Firebase console. After that, you'll learn how easy it is to add Firebase Analytics to an app and quickly gain insights. Finally, you'll learn how to use Firebase Crash Reporting, Firebase Remote Config, and Firebase Dynamic Links integrated with Firebase Analytics to improve your app and grow your user base.,By the end of this course you'll have an app that records how users interact with it, and you'll know how use that data to improve performance. You'll have the foundation needed to apply Firebase Analytics to your own apps."
Computer Networking,"This course covers advanced topics in Computer Networking such as Software-Defined Networking (SDN), Data Center Networking and Content Distribution. The course is divided into three parts:,Part 1 is about the implementation, design principles and goals of a Computer Network and touches upon the various routing algorithms used in CN (such as link-state and distance vector). ,Part 2 talks about resource control and content distribution in Networking Applications. It covers Congestion Control and Traffic Shaping.,Part 3 deals with the operations and management of computer networks encompassing SDN's (Software Defined Networks), Traffic Engineering and Network Security."
Cyber-Physical Systems Security,This course provides an introduction to security issues relating to various cyber-physical systems including industrial control systems and those considered critical infrastructure systems.
Intro to jQuery,"jQuery is the most popular JavaScript library today, in use by over 60% of the top 100,000 most visited websites. This course will teach you how to use jQuery’s core features - DOM element selections, traversal and manipulation.,You'll also learn how to read and make sense of jQuery's documentation, making it easy for you to go beyond the methods taught in this class and take advantage of jQuery's full array of features!,This course is also a part of our , Nanodegree."
iOS Persistence and Core Data,"Persisting data is a core skill for any iOS developer. This course will teach you three techniques for storing data to your device’s hard drive: NSUserPreferences for small amounts of data, the Sandbox for files and Core Data when you have to play in the Big Leagues!"
Data Visualization in Tableau,"Learn the fundamentals of data visualization and practice communicating with data. This course covers how to apply design principles, human perception, color theory, and effective storytelling with data. If you present data to others, aspire to be a business analyst or data scientist, or if you’d like to become more effective with visualization tools, then you can grow your skills with this course.,This course is part of both the Business Analyst and Data Analyst Nanodegree Programs."
Software Development Process,"In SDP, you will learn how to select and implement the ideal software process for your development project. Through Professor Orso's engaging examples and interviews with industry insiders, you will learn both conceptual and practical aspects of software engineering. The course covers requirements engineering, architecture and design, testing and maintenance, and software quality in general. ,The goal of this class is to equip you with the skills necessary to define requirements, set up an integrated development environment (IDE), learn Git (and Github!) and use Unified Modeling Language (UML) to design and build an Android application. We will also examine several testing practices and refactoring techniques that are helpful before the launch of your software project. ,While everyone working with software should have these skills, they are particularly important for Software Engineers and Engineering Managers."
Writing READMEs,"In this course, you’ll learn what documentation is and why it’s an important part of the development process. You'll learn how to build a well-structured README that you’ll be able to incorporate into your projects moving forward. By the end of this course, you will have written your very own README file using Markdown."
Intro to Progressive Web Apps,"In this course you’ll get started working on your very first Progressive Web App (PWA) - a web app that can take advantage of many of the features native applications have enjoyed. You’ll also get more experience in creating a web app that works offline using Service Workers. Finally, you’ll make your app installable to the user’s home screen with the Web App Manifest file."
UX Design for Mobile Developers,"This course is optimized for the developer who is looking to efficiently learn the most important design techniques that will help them make better apps (with a focus on mobile/Android). ,This is a UX design course built for current (and aspiring) mobile developers. In this short course, you'll step back from your IDE and dive into the techniques that great designers use to plan and prototype amazing apps before any code is written."
Offline Web Applications,"This course is focused squarely on user experience, and seeks to show developers how thinking offline-first is the best way to ensure that applications perform their best in all scenarios, not just ideal ones. You'll learn to recognize the differences between good, poor, intermittent, and missing connectivity for your users , and master  how to make applications that navigate these conditions with ease.,Using the skills you master in this course, you'll conclude by building an app that that works both online and offline, and loads in new data when it can. You'll be a master of the cache! Your web apps will interact with the network just like native apps do. This will lead to better user experiences even in traditionally challenging connection scenarios like being stuck in a train tunnel, having to rely on over-crowded conference Wi-Fi, or traveling through a cellular ""dead zone!"""
Kotlin for Android Developers,"In this course, Aaron Sarazan, Lead Software Engineer at Capital One and a leading advocate for Kotlin, demonstrates how to take a basic Android app in Java and convert it to Kotlin, teaching you key features of the Kotlin programming language along the way. This is an efficient, fast-paced introduction to Kotlin for experienced Java programmers."
Developing Android Apps with Kotlin,"Learn to architect and develop Android apps in the Kotlin programming language using industry-proven tools and libraries. With these techniques you'll create apps in less time, writing less code, and with fewer errors.,This course was developed by Google together with Udacity. The course gives you hands on experience as you build real Android apps using industry best practices, with modern app architecture. You'll learn to use Android Jetpack components such as Room for databases, Work Manager for background processing, the new Navigation component, and more. You'll use key Kotlin features to write your app code more quickly and concisely."
Software Analysis & Testing,"This course covers the theory and practice of software analysis, which lies at the heart of many software development processes such as diagnosing bugs, testing, debugging, and more. It presents diverse techniques, each with their own strengths and limitations, for automating tasks such as testing, debugging, and finding bugs in complex real-world programs. These techniques include dataflow analysis, constraint-based analysis, type systems, model checking, symbolic execution, and more. The course teaches the principles underlying these techniques as well as imparts hands-on experience with using and implementing tools based on these techniques."
Scalable Microservices with Kubernetes,"This course is designed to teach you about managing application containers, using Kubernetes. We've built this course in partnership with experts such as Kelsey Hightower and Carter Morgan from Google and Netflix’s former Cloud Architect, Adrian Cockcroft (current Technology Fellow at Battery Ventures), who provide critical learning throughout the course. ,Mastering highly resilient and scalable infrastructure management is very important, because the modern expectation is that your favorite sites will be up 24/7, and that they will roll out new features frequently and without disruption of the service. Achieving this requires tools that allow you to ensure speed of development, infrastructure stability and ability to scale. Students with backgrounds in Operations or Development who are interested in managing container based infrastructure with Kubernetes are recommended to enroll!,In this course you will learn to:"
Learn Swift Programming Syntax,"Swift is a language created by Apple specifically for iOS and OS X development. It’s fast, concise, and comes with tools  which make it easier than ever to visualize one's code. ,This course focuses on the syntax of the Swift programming language. By the end of the course, students should be able to apply Swift essentials to building iOS apps and employ Swift's more unique elements, like optional types and switch statements, with confidence."
Web Accessibility,"In this course you’ll get hands-on experience making web applications accessible. You’ll understand when and why users need accessibility. Then you’ll dive into the ""how"": making a page work properly with screen readers, and managing input focus (e.g. the highlight you see when tabbing through a form.) You’ll understand what ""semantics"" and ""semantic markup"" mean for web pages and add ARIA markup to enable navigating the interface with a range of assistive devices. Finally, you’ll learn styling techniques that help users with partial vision navigate your pages easily and reliably.,This course is also featured in our , program."
Android Basics: Data Storage,"In this course, you will learn about the importance of data persistence when building an Android app. We'll introduce you to the fundamentals of SQL, the programming language needed to interact with an SQLite relational database. SQLite is a commonly used method to store large sets of data locally on an Android device. ,You'll also learn how to work with Content Providers, which help your data storage to be bug free and to be shared, if you choose, with other apps.,If you’re curious about the road even farther ahead, these are the free courses that make up the Android Basics Nanodegree, in order: "
Browser Rendering Optimization," to users. Web developers need to build apps that react quickly and render smoothly.,Google performance guru Paul Lewis is here to help you destroy , and create web apps that maintain 60 frames per second performance.,You'll leave this course with the tools you need to profile apps and identify the causes of jank. You'll explore the browser's rendering pipeline and uncover patterns that make it easy to build performant apps."
Android Basics: Networking,"This course is a part of the ,.,Android apps are everywhere and learning to build them can be a fantastic career move. Continue on your Android app development education and learn to build multi-screen apps!,This course is designed for students who have completed the , and the ,. You don’t need any programming experience besides that course!,Learning anything new can be tough. We will walk you through the process of making Android apps, but to get the most out of this course, bring your enthusiasm for learning, and budget time on your calendar to learn with us. It will be an adventure!,By the end of the course, you’ll build an app that gets you up to date earthquake information!,If you’re curious about the road even farther ahead, these are the free courses that make up the Android Basics Nanodegree, in order: "
Introduction to Operating Systems,"Introduction to Operating Systems is a graduate-level introductory course in operating systems. This course teaches the basic operating system abstractions, mechanisms, and their implementations. The core of the course contains concurrent programming (threads and synchronization), inter process communication, and an introduction to distributed operating systems. The course is split into four sections: (1) Introduction, (2) Process and Thread Management, (3) Resource Management and Communication, and (4) Distributed Systems."
Authentication & Authorization: OAuth,"As a Python programmer, leveraging Flask allows you to quickly and easily build your own web applications. But before you share your apps on the Internet you should protect your users' data, ensuring information stored on your site is safe from unwanted manipulation. You could implement web security and permissions on your own, but relying on trusted providers is a faster, safer, and easier way to allow users to login to your application - without having to create and maintain another account, profile, and password. ,In this course, you will learn to implement the OAuth 2.0 framework to allow users to securely login to your web applications. You'll be provided a  , created in Flask. By the end of this course, you will write the necessary code to implement Google+ Sign-In and Facebook Login in options so users can create restaurant menus that are viewable by everyone but only modifiable by the original creator."
Advanced Android App Development,"Ready to level-up your skills as an Android developer? In this course, you will learn how to make your app production-ready by developing a variety of different sample apps, each designed to showcase advanced capabilities of the Android platform, including fragments, widgets, media playback, and testing. You’ll learn how to create UI tests using the Espresso framework, to leverage third-party libraries and services like ExoPlayer and Firebase Cloud Messaging, and use Google APIs to make your app aware of its location. By the end of the course, you’ll know how to publish your own app to the Google Play Store, where you can reach and engage users across the globe."
Building High Conversion Web Forms,"Any meaningful experience on the web has a form. Whether it's a form made of text boxes, toggles, buttons, checkboxes, or touchable widgets, web developers need to be purposeful about forms to make users happy and increase ,.,In this course, you'll learn best practices for modern forms as taught by Google's Ido Green and Udacity's Cameron Pittman. You'll practice your skills along the way with a few self-directed projects, including an e-commerce checkout and an event planner app!,As a special treat, you'll also watch a series of interviews with Luke Wroblewski, Google Product Director and author of ,, to get his take on interactions for the modern web."
Intro to iOS App Development with Swift,"In this course we will build an iPhone app that records a conversation between you and a friend, and then makes your voices sound like a Chipmunk or Darth Vader.,This course will introduce you to iOS app development in Swift, a new programming language from Apple, and serves as your launching point into the ,."
Software Architecture & Design,"Software Architecture and Design teaches the principles and concepts involved in the analysis and design of large software systems. This course is split into four sections: (1) Introduction, (2) UML and Analysis, (3) Software Architecture, and (4) Software Design."
What is Programming?,"The world of development can be daunting with all of its lingo and jargon. This course will help demystify the cryptic terms that developers use on a daily basis. You'll learn about how the web functions, what a programmer does each day, why version control is so important, and how communication on the internet happens. "
Client-Server Communication,"We use websites all the time, but how does clicking a link in your browser or typing in a URL in the address bar get you to a website? How does the server know what information you're looking for or how to send you that information once it's figured that out? How can you protect your users from attackers? Dig into this course and you'll be able to answer these questions!,This course will guide you through how a client communicates with a server. You'll learn about HTTP's request and response cycle, dig into HTTP headers and verbs, distinguish HTTP/1 from HTTP/2 capabilities, all while experiencing the importance of security by digging into the details of HTTPS. Throughout the course, you'll learn both security best practices, as well as ways to improve the performance of your web apps. We'll provide you with handcrafted servers where you'll diagnose problematic server setups, issues with SSL certificates, and even have a chance to hack an example bank website to transfer funds."
UIKit Fundamentals,"In this course, you will build a series of simple apps to become more comfortable with the UIKit framework and master its most widely used components. This framework constitutes the building blocks of the user interface for all iOS apps, and is crucial for any iOS Developer to be intimately familiar with."
Android Basics: User Interface, Learn how to design your first layout in Android! This is the first course in the Android Basics Nanodegree program. 
JavaScript Promises,"Learn how to handle asynchronous work with ease! In this course, you'll use Native JavaScript Promises to write asynchronous code that is easy to read, easy to write and easy to debug.,Along the way, you'll be using Promises to make a webapp come to life!"
